case_id,storm_id,init_time,forecast_hours,output_interval_hours,name,basin
2022239N22150-CE02-L096,2022239N22150,2022-08-26T18:00:00Z,102,6,HINNAMNOR,WP
2022239N22150-CE02-L120,2022239N22150,2022-08-25T18:00:00Z,126,6,HINNAMNOR,WP
2022239N22150-CE03-L024,2022239N22150,2022-09-02T12:00:00Z,30,6,HINNAMNOR,WP
2022239N22150-CE03-L048,2022239N22150,2022-09-01T12:00:00Z,54,6,HINNAMNOR,WP
2022239N22150-CE03-L072,2022239N22150,2022-08-31T12:00:00Z,78,6,HINNAMNOR,WP
2022239N22150-CE03-L096,2022239N22150,2022-08-30T12:00:00Z,102,6,HINNAMNOR,WP
2022239N22150-CE03-L120,2022239N22150,2022-08-29T12:00:00Z,126,6,HINNAMNOR,WP
2022248N14259-CE01-L024,2022248N14259,2022-09-07T18:00:00Z,30,6,KAY,EP
2022248N14259-CE01-L048,2022248N14259,2022-09-06T18:00:00Z,54,6,KAY,EP
2022248N14259-CE01-L072,2022248N14259,2022-09-05T18:00:00Z,78,6,KAY,EP
2022248N14259-CE01-L096,2022248N14259,2022-09-04T18:00:00Z,102,6,KAY,EP
2022248N14259-CE01-L120,2022248N14259,2022-09-03T18:00:00Z,126,6,KAY,EP
2022247N26147-CE01-L024,2022247N26147,2022-09-11T06:00:00Z,24,6,MUIFA,WP
2022247N26147-CE01-L048,2022247N26147,2022-09-10T06:00:00Z,48,6,MUIFA,WP
2022247N26147-CE01-L072,2022247N26147,2022-09-09T06:00:00Z,72,6,MUIFA,WP
2022247N26147-CE01-L096,2022247N26147,2022-09-08T06:00:00Z,96,6,MUIFA,WP
2022247N26147-CE01-L120,2022247N26147,2022-09-07T06:00:00Z,120,6,MUIFA,WP
2022246N18301-CE02-L024,2022246N18301,2022-09-11T06:00:00Z,24,6,EARL,NA
2022246N18301-CE02-L048,2022246N18301,2022-09-10T06:00:00Z,48,6,EARL,NA
2022246N18301-CE02-L072,2022246N18301,2022-09-09T06:00:00Z,72,6,EARL,NA
2022246N18301-CE02-L096,2022246N18301,2022-09-08T06:00:00Z,96,6,EARL,NA
2022246N18301-CE02-L120,2022246N18301,2022-09-07T06:00:00Z,120,6,EARL,NA
2022254N24143-CE01-L024,2022254N24143,2022-09-17T06:00:00Z,30,6,NANMADOL,WP
2022254N24143-CE01-L048,2022254N24143,2022-09-16T06:00:00Z,54,6,NANMADOL,WP
2022254N24143-CE01-L072,2022254N24143,2022-09-15T06:00:00Z,78,6,NANMADOL,WP
2022254N24143-CE01-L096,2022254N24143,2022-09-14T06:00:00Z,102,6,NANMADOL,WP
2022254N24143-CE01-L120,2022254N24143,2022-09-13T06:00:00Z,126,6,NANMADOL,WP
2022257N16312-CE01-L024,2022257N16312,2022-09-17T18:00:00Z,30,6,FIONA,NA
2022257N16312-CE01-L048,2022257N16312,2022-09-16T18:00:00Z,54,6,FIONA,NA
2022257N16312-CE01-L072,2022257N16312,2022-09-15T18:00:00Z,78,6,FIONA,NA
2022257N16312-CE01-L096,2022257N16312,2022-09-14T18:00:00Z,102,6,FIONA,NA
2022257N16312-CE01-L120,2022257N16312,2022-09-13T18:00:00Z,126,6,FIONA,NA
2022257N16312-CE02-L024,2022257N16312,2022-09-18T12:00:00Z,30,6,FIONA,NA
2022257N16312-CE02-L048,2022257N16312,2022-09-17T12:00:00Z,54,6,FIONA,NA
2022257N16312-CE02-L072,2022257N16312,2022-09-16T12:00:00Z,78,6,FIONA,NA
2022257N16312-CE02-L096,2022257N16312,2022-09-15T12:00:00Z,102,6,FIONA,NA
2022257N16312-CE02-L120,2022257N16312,2022-09-14T12:00:00Z,126,6,FIONA,NA
2022257N16312-CE03-L024,2022257N16312,2022-09-22T12:00:00Z,24,6,FIONA,NA
2022257N16312-CE03-L048,2022257N16312,2022-09-21T12:00:00Z,48,6,FIONA,NA
2022257N16312-CE03-L072,2022257N16312,2022-09-20T12:00:00Z,72,6,FIONA,NA
2022257N16312-CE03-L096,2022257N16312,2022-09-19T12:00:00Z,96,6,FIONA,NA
2022257N16312-CE03-L120,2022257N16312,2022-09-18T12:00:00Z,120,6,FIONA,NA
2022257N16312-CE04-L024,2022257N16312,2022-09-23T06:00:00Z,30,6,FIONA,NA
2022257N16312-CE04-L048,2022257N16312,2022-09-22T06:00:00Z,54,6,FIONA,NA
2022257N16312-CE04-L072,2022257N16312,2022-09-21T06:00:00Z,78,6,FIONA,NA
2022257N16312-CE04-L096,2022257N16312,2022-09-20T06:00:00Z,102,6,FIONA,NA
2022257N16312-CE04-L120,2022257N16312,2022-09-19T06:00:00Z,126,6,FIONA,NA
2022264N17132-CE01-L024,2022264N17132,2022-09-24T12:00:00Z,24,6,NORU,WP
2022264N17132-CE01-L048,2022264N17132,2022-09-23T12:00:00Z,48,6,NORU,WP
2022264N17132-CE01-L072,2022264N17132,2022-09-22T12:00:00Z,72,6,NORU,WP
2022264N17132-CE01-L096,2022264N17132,2022-09-21T12:00:00Z,96,6,NORU,WP
2022264N17132-CE01-L120,2022264N17132,2022-09-20T12:00:00Z,120,6,NORU,WP
2022264N17132-CE02-L024,2022264N17132,2022-09-24T18:00:00Z,24,6,NORU,WP
2022264N17132-CE02-L048,2022264N17132,2022-09-23T18:00:00Z,48,6,NORU,WP
2022264N17132-CE02-L072,2022264N17132,2022-09-22T18:00:00Z,72,6,NORU,WP
2022264N17132-CE02-L096,2022264N17132,2022-09-21T18:00:00Z,96,6,NORU,WP
2022264N17132-CE02-L120,2022264N17132,2022-09-20T18:00:00Z,120,6,NORU,WP
2022266N12294-CE01-L024,2022266N12294,2022-09-26T06:00:00Z,30,6,IAN,NA
2022266N12294-CE01-L048,2022266N12294,2022-09-25T06:00:00Z,54,6,IAN,NA
2022266N12294-CE01-L072,2022266N12294,2022-09-24T06:00:00Z,78,6,IAN,NA
2022266N12294-CE01-L096,2022266N12294,2022-09-23T06:00:00Z,102,6,IAN,NA
2022266N12294-CE01-L120,2022266N12294,2022-09-22T06:00:00Z,126,6,IAN,NA
2022264N17132-CE03-L024,2022264N17132,2022-09-26T18:00:00Z,30,6,NORU,WP
2022264N17132-CE03-L048,2022264N17132,2022-09-25T18:00:00Z,54,6,NORU,WP
2022264N17132-CE03-L072,2022264N17132,2022-09-24T18:00:00Z,78,6,NORU,WP
2022264N17132-CE03-L096,2022264N17132,2022-09-23T18:00:00Z,102,6,NORU,WP
2022264N17132-CE03-L120,2022264N17132,2022-09-22T18:00:00Z,126,6,NORU,WP
2022266N12294-CE02-L024,2022266N12294,2022-09-28T12:00:00Z,24,6,IAN,NA
2022266N12294-CE02-L048,2022266N12294,2022-09-27T12:00:00Z,48,6,IAN,NA
2022266N12294-CE02-L072,2022266N12294,2022-09-26T12:00:00Z,72,6,IAN,NA
2022266N12294-CE02-L096,2022266N12294,2022-09-25T12:00:00Z,96,6,IAN,NA
2022266N12294-CE02-L120,2022266N12294,2022-09-24T12:00:00Z,120,6,IAN,NA
2022272N14258-CE01-L024,2022272N14258,2022-10-02T06:00:00Z,24,6,ORLENE,EP
2022272N14258-CE01-L048,2022272N14258,2022-10-01T06:00:00Z,48,6,ORLENE,EP
2022272N14258-CE01-L072,2022272N14258,2022-09-30T06:00:00Z,72,6,ORLENE,EP
2022272N14258-CE01-L096,2022272N14258,2022-09-29T06:00:00Z,96,6,ORLENE,EP
2022272N14258-CE01-L120,2022272N14258,2022-09-28T06:00:00Z,120,6,ORLENE,EP
2022280N11294-CE01-L024,2022280N11294,2022-10-08T06:00:00Z,30,6,JULIA,NA
2022280N11294-CE01-L048,2022280N11294,2022-10-07T06:00:00Z,54,6,JULIA,NA
2022280N11294-CE01-L072,2022280N11294,2022-10-06T06:00:00Z,78,6,JULIA,NA
2022280N11294-CE01-L096,2022280N11294,2022-10-05T06:00:00Z,102,6,JULIA,NA
2022280N11294-CE01-L120,2022280N11294,2022-10-04T06:00:00Z,126,6,JULIA,NA
2022285N17140-CE01-L024,2022285N17140,2022-10-15T00:00:00Z,24,6,NESAT,WP
2022285N17140-CE01-L048,2022285N17140,2022-10-14T00:00:00Z,48,6,NESAT,WP
2022285N17140-CE01-L072,2022285N17140,2022-10-13T00:00:00Z,72,6,NESAT,WP
